model,condition,obf_level,obf_name,site,features,layer,breakdown,cell,accuracy,n,n_bases,n_pos,n_neg,pos_frac
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,11,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,11,structure,branch_merge,0.5833333333333334,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,11,structure,direct,0.5833333333333334,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,11,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,all,all,1.0,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,family,command_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,family,dynamic_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,family,sql_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,structure,assign_chain,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,structure,branch_merge,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,structure,direct,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,15,structure,helper,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,all,all,0.9791666666666666,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,family,command_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,family,dynamic_exec,0.9583333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,family,sql_exec,0.9791666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,structure,assign_chain,0.9722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,structure,branch_merge,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,structure,direct,0.9722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,15,structure,helper,0.9722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,all,all,0.7708333333333334,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,family,command_exec,0.8541666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,family,dynamic_exec,0.5833333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,family,sql_exec,0.875,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,structure,assign_chain,0.6111111111111112,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,structure,branch_merge,0.9166666666666666,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,structure,direct,0.8611111111111112,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,15,structure,helper,0.6944444444444444,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,all,all,0.6597222222222222,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,family,command_exec,0.7083333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,family,dynamic_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,family,sql_exec,0.7291666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,structure,branch_merge,0.7222222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,structure,direct,0.7777777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,15,structure,helper,0.6388888888888888,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,all,all,0.6805555555555556,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,family,command_exec,0.7291666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,family,sql_exec,0.8125,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,structure,assign_chain,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,structure,branch_merge,0.8055555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,structure,direct,0.7777777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,15,structure,helper,0.6111111111111112,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,all,all,0.5486111111111112,144,72,72,72,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,family,command_exec,0.5833333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,family,dynamic_exec,0.4583333333333333,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,family,sql_exec,0.6041666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,structure,branch_merge,0.6666666666666666,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,structure,direct,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,15,structure,helper,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,all,all,1.0,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,family,command_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,family,dynamic_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,family,sql_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,structure,assign_chain,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,structure,branch_merge,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,structure,direct,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,19,structure,helper,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,all,all,0.5486111111111112,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,family,command_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,family,sql_exec,0.625,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,structure,branch_merge,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,structure,direct,0.6388888888888888,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,19,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,19,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,19,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,19,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,19,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,all,all,1.0,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,family,command_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,family,dynamic_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,family,sql_exec,1.0,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,structure,assign_chain,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,structure,branch_merge,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,structure,direct,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,hidden,23,structure,helper,1.0,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,all,all,0.5833333333333334,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,family,command_exec,0.5625,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,family,dynamic_exec,0.6875,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,structure,assign_chain,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,structure,branch_merge,0.6388888888888888,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,structure,direct,0.5833333333333334,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,hidden,23,structure,helper,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,hidden,23,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,hidden,23,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,hidden,23,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,hidden,23,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,family,dynamic_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,family,sql_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,last_token,surface,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,all,all,0.4930555555555556,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,family,command_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,family,dynamic_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,family,sql_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,structure,direct,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,last_token,surface,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,all,all,0.5625,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,family,command_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,family,dynamic_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,family,sql_exec,0.625,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,structure,assign_chain,0.6388888888888888,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,structure,branch_merge,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,structure,direct,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,last_token,surface,-1,structure,helper,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,all,all,0.4861111111111111,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,family,dynamic_exec,0.4583333333333333,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,family,sql_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,structure,assign_chain,0.3888888888888889,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,structure,direct,0.5555555555555556,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,last_token,surface,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,all,all,0.5277777777777778,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,family,dynamic_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,family,sql_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,structure,assign_chain,0.6666666666666666,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,structure,branch_merge,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,last_token,surface,-1,structure,helper,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,all,all,0.5,144,72,72,72,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,family,command_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,family,sql_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,structure,direct,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf4,4,flatten,last_token,surface,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,all,all,0.5069444444444444,144,72,72,72,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,family,sql_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,structure,direct,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,clean_heldout,-1,clean,sink_arg,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,all,all,0.5069444444444444,144,72,72,72,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,family,dynamic_exec,0.5,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,family,sql_exec,0.5416666666666666,48,24,24,24,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,structure,assign_chain,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,structure,direct,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf0,0,normalize,sink_arg,hidden,-1,structure,helper,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,all,all,0.5208333333333334,144,72,72,72,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,family,command_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,family,dynamic_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,family,sql_exec,0.5625,48,24,24,24,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,structure,assign_chain,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,structure,branch_merge,0.5,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,structure,direct,0.5833333333333334,36,18,18,18,0.5
deepseek-coder-1.3b,obf1,1,rename,sink_arg,hidden,-1,structure,helper,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,all,all,0.4444444444444444,144,72,72,72,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,family,dynamic_exec,0.4375,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,family,sql_exec,0.4166666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,structure,assign_chain,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,structure,branch_merge,0.4166666666666667,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,structure,direct,0.4166666666666667,36,18,18,18,0.5
deepseek-coder-1.3b,obf2,2,opaque,sink_arg,hidden,-1,structure,helper,0.4722222222222222,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,all,all,0.4861111111111111,144,72,72,72,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,family,command_exec,0.4791666666666667,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,family,dynamic_exec,0.5208333333333334,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,family,sql_exec,0.4583333333333333,48,24,24,24,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,structure,assign_chain,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,structure,branch_merge,0.5277777777777778,36,18,18,18,0.5
deepseek-coder-1.3b,obf3,3,encode,sink_arg,hidden,-1,structure,direct,0.4444444444444444,36,18,18,18,0.5
